	nrmf_simple_query
ndcg	0.437
map	0.09
P_10	0.132
Rprec	0.114
ndcg_cut_10	0.112
ndcg_cut_100	0.129
num_rel_ret	3836.0
num_ret	40000.0
P_20	0.111
P_30	0.129
P_100	0.121
ndcg_cut_20	0.103
ndcg_cut_30	0.115
dataset	pm19
dataset_size	full
model	nrmf_simple_query
